,Nama_Produk,Akun,ulasan,rate,ulasan_tokenize,ulasan_normalized,ulasan_stop_removed,ulasan_Stemmed,ulasan_clean
59,Disposable Mask KN95 N95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - EVO 1pcs,Edwin,barang diterima dengan baik,5,"['barang', 'diterima', 'dengan', 'baik']","['barang', 'diterima', 'dengan', 'baik']","['barang', 'diterima']","['barang', 'terima']",barang terima
60,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,a***a,terbaik,5,['terbaik'],['terbaik'],['terbaik'],['baik'],baik
61,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,dharma,nan,5,['nan'],['nan'],['nan'],['nan'],nan
62,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Lesmono,warna kalem bisa dipakai bini sesuai bajunya,5,"['warna', 'kalem', 'bisa', 'dipakai', 'bini', 'sesuai', 'bajunya']","['warna', 'kalem', 'bisa', 'dipakai', 'bini', 'sesuai', 'bajunya']","['warna', 'kalem', 'dipakai', 'bini', 'sesuai', 'bajunya']","['warna', 'kalem', 'pakai', 'bini', 'sesuai', 'baju']",warna kalem pakai bini sesuai baju
63,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,s***i,tooopp puuaaassss,5,"['tooopp', 'puuaaassss']","['tooopp', 'puuaaassss']","['tooopp', 'puuaaassss']","['tooopp', 'puuaaassss']",tooopp puuaaassss
64,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,S***i,barang sesuai pesanan dan bagus hanya pengirimannya lebih lama dari umumnya,5,"['barang', 'sesuai', 'pesanan', 'dan', 'bagus', 'hanya', 'pengirimannya', 'lebih', 'lama', 'dari', 'umumnya']","['barang', 'sesuai', 'pesanan', 'dan', 'bagus', 'hanya', 'pengirimannya', 'lebih', 'lama', 'dari', 'umumnya']","['barang', 'sesuai', 'pesanan', 'bagus', 'pengirimannya']","['barang', 'sesuai', 'pesan', 'bagus', 'kirim']",barang sesuai pesan bagus kirim
65,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Melani,bagus rapih juga ga ada foto karna langsung dipakai talinya ga gampang putus tapi malah relatif sakit ditelinga makasih ya,5,"['bagus', 'rapih', 'juga', 'ga', 'ada', 'foto', 'karna', 'langsung', 'dipakai', 'talinya', 'ga', 'gampang', 'putus', 'tapi', 'malah', 'relatif', 'sakit', 'ditelinga', 'makasih', 'ya']","['bagus', 'rapih', 'juga', 'ga', 'ada', 'foto', 'karna', 'langsung', 'dipakai', 'talinya', 'ga', 'gampang', 'putus', 'tapi', 'malah', 'relatif', 'sakit', 'ditelinga', 'makasih', 'ya']","['bagus', 'rapih', 'ga', 'foto', 'karna', 'langsung', 'dipakai', 'talinya', 'ga', 'gampang', 'putus', 'relatif', 'sakit', 'ditelinga', 'makasih', 'ya']","['bagus', 'rapih', 'ga', 'foto', 'karna', 'langsung', 'pakai', 'tali', 'ga', 'gampang', 'putus', 'relatif', 'sakit', 'telinga', 'makasih', 'ya']",bagus rapih ga foto karna langsung pakai tali ga gampang putus relatif sakit telinga makasih ya
66,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,Darwin,ok,5,['ok'],['ok'],['ok'],['ok'],ok
67,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,SETIAWAN,packing rapi respon cepat,5,"['packing', 'rapi', 'respon', 'cepat']","['packing', 'rapi', 'respon', 'cepat']","['packing', 'rapi', 'respon', 'cepat']","['packing', 'rapi', 'respon', 'cepat']",packing rapi respon cepat
68,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,mantap jiwa moga harganya bisa turun lg,5,"['mantap', 'jiwa', 'moga', 'harganya', 'bisa', 'turun', 'lg']","['mantap', 'jiwa', 'moga', 'harganya', 'bisa', 'turun', 'lg']","['mantap', 'jiwa', 'moga', 'harganya', 'turun', 'lg']","['mantap', 'jiwa', 'moga', 'harga', 'turun', 'lg']",mantap jiwa moga harga turun lg
69,Goto Enviro 50 Pcs 3ply Facemask Masker Earloop Kesehatan - 50 pcs Rainbow,arief,next order,5,"['next', 'order']","['next', 'order']","['next', 'order']","['next', 'order']",next order
70,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,kualitas bagus gak abal,5,"['kualitas', 'bagus', 'gak', 'abal']","['kualitas', 'bagus', 'tidak', 'abal']","['kualitas', 'bagus', 'abal']","['kualitas', 'bagus', 'abal']",kualitas bagus abal
71,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,d***i,recommend kurirnya baikk,5,"['recommend', 'kurirnya', 'baikk']","['rekomendasi', 'kurirnya', 'baikk']","['rekomendasi', 'kurirnya', 'baikk']","['rekomendasi', 'kurir', 'baikk']",rekomendasi kurir baikk
72,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Rizki,udah langganan beli masker di sini kualitas maskernya bagus dan pengiriman cepat harganya juga affordable thank you,5,"['udah', 'langganan', 'beli', 'masker', 'di', 'sini', 'kualitas', 'maskernya', 'bagus', 'dan', 'pengiriman', 'cepat', 'harganya', 'juga', 'affordable', 'thank', 'you']","['udah', 'langganan', 'beli', 'masker', 'di', 'sini', 'kualitas', 'maskernya', 'bagus', 'dan', 'pengiriman', 'cepat', 'harganya', 'juga', 'affordable', 'thank', 'you']","['udah', 'langganan', 'beli', 'masker', 'kualitas', 'maskernya', 'bagus', 'pengiriman', 'cepat', 'harganya', 'affordable', 'thank', 'you']","['udah', 'langgan', 'beli', 'masker', 'kualitas', 'masker', 'bagus', 'kirim', 'cepat', 'harga', 'affordable', 'thank', 'you']",udah langgan beli masker kualitas masker bagus kirim cepat harga affordable thank you
73,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Irfan,paket sesuai gambar dan diskripsi pengiriman termasuk cepatrecomended seller,5,"['paket', 'sesuai', 'gambar', 'dan', 'diskripsi', 'pengiriman', 'termasuk', 'cepatrecomended', 'seller']","['paket', 'sesuai', 'gambar', 'dan', 'diskripsi', 'pengiriman', 'termasuk', 'cepat', 'seller']","['paket', 'sesuai', 'gambar', 'diskripsi', 'pengiriman', 'cepat', 'seller']","['paket', 'sesuai', 'gambar', 'skripsi', 'kirim', 'cepat', 'seller']",paket sesuai gambar skripsi kirim cepat seller
74,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Lupir,semenjak wabah ini melanda beli masker medis di toko ini sangat rekomendasi banget terimakasih,5,"['semenjak', 'wabah', 'ini', 'melanda', 'beli', 'masker', 'medis', 'di', 'toko', 'ini', 'sangat', 'rekomendasi', 'banget', 'terimakasih']","['semenjak', 'wabah', 'ini', 'melanda', 'beli', 'masker', 'medis', 'di', 'toko', 'ini', 'sangat', 'rekomendasi', 'banget', 'terimakasih']","['semenjak', 'wabah', 'melanda', 'beli', 'masker', 'medis', 'toko', 'rekomendasi', 'banget', 'terimakasih']","['semenjak', 'wabah', 'landa', 'beli', 'masker', 'medis', 'toko', 'rekomendasi', 'banget', 'terimakasih']",semenjak wabah landa beli masker medis toko rekomendasi banget terimakasih
75,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Mueeza,saya gak bs bedain merk yg satu dgn yg lain pas dtg brgnya terkesan sama aja mudah an ga ada mslh,4,"['saya', 'gak', 'bs', 'bedain', 'merk', 'yg', 'satu', 'dgn', 'yg', 'lain', 'pas', 'dtg', 'brgnya', 'terkesan', 'sama', 'aja', 'mudah', 'an', 'ga', 'ada', 'mslh']","['saya', 'tidak', 'bs', 'bedain', 'merk', 'yang', 'satu', 'dgn', 'yang', 'lain', 'saat', 'dtg', 'brgnya', 'terkesan', 'sama', 'aja', 'mudah', 'an', 'ga', 'ada', 'mslh']","['bs', 'bedain', 'merk', 'dgn', 'dtg', 'brgnya', 'terkesan', 'aja', 'mudah', 'an', 'ga', 'mslh']","['bs', 'bedain', 'merk', 'dgn', 'dtg', 'brgnya', 'kes', 'aja', 'mudah', 'an', 'ga', 'mslh']",bs bedain merk dgn dtg brgnya kes aja mudah an ga mslh
76,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,G***g,order pagi bada isya udah sampe loh mantap pisan makasih banyak yah gan sukses selalu untuk lapaknya semoga tambah barokah,5,"['order', 'pagi', 'bada', 'isya', 'udah', 'sampe', 'loh', 'mantap', 'pisan', 'makasih', 'banyak', 'yah', 'gan', 'sukses', 'selalu', 'untuk', 'lapaknya', 'semoga', 'tambah', 'barokah']","['order', 'pagi', 'bada', 'isya', 'udah', 'sampe', 'loh', 'mantap', 'pisan', 'makasih', 'banyak', 'yah', 'gan', 'sukses', 'selalu', 'untuk', 'lapaknya', 'semoga', 'tambah', 'barokah']","['order', 'pagi', 'bada', 'isya', 'udah', 'sampe', 'loh', 'mantap', 'pisan', 'makasih', 'yah', 'gan', 'sukses', 'lapaknya', 'semoga', 'barokah']","['order', 'pagi', 'bada', 'isya', 'udah', 'sampe', 'loh', 'mantap', 'pis', 'makasih', 'yah', 'gan', 'sukses', 'lapak', 'moga', 'barokah']",order pagi bada isya udah sampe loh mantap pis makasih yah gan sukses lapak moga barokah
77,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,Agit,box rapi packing rapi barang sesuai dgn gambar seller respon ke customer,5,"['box', 'rapi', 'packing', 'rapi', 'barang', 'sesuai', 'dgn', 'gambar', 'seller', 'respon', 'ke', 'customer']","['box', 'rapi', 'packing', 'rapi', 'barang', 'sesuai', 'dgn', 'gambar', 'seller', 'respon', 'ke', 'customer']","['box', 'rapi', 'packing', 'rapi', 'barang', 'sesuai', 'dgn', 'gambar', 'seller', 'respon', 'customer']","['box', 'rapi', 'packing', 'rapi', 'barang', 'sesuai', 'dgn', 'gambar', 'seller', 'respon', 'customer']",box rapi packing rapi barang sesuai dgn gambar seller respon customer
78,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,H***k,mantapp thanks,5,"['mantapp', 'thanks']","['mantapp', 'thanks']","['mantapp', 'thanks']","['mantapp', 'thanks']",mantapp thanks
79,Disposable Face Mask 50pcs / BOX Masker Wajah Kesehatan 3 Layer BNPB - Pack 10pcs,S***a,nan,5,['nan'],['nan'],['nan'],['nan'],nan
80,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Z***i,barang bagus sesuai deskripsimakasih,5,"['barang', 'bagus', 'sesuai', 'deskripsimakasih']","['barang', 'bagus', 'sesuai', 'deskripsimakasih']","['barang', 'bagus', 'sesuai', 'deskripsimakasih']","['barang', 'bagus', 'sesuai', 'deskripsimakasih']",barang bagus sesuai deskripsimakasih
81,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,M***M,sdh kl order,5,"['sdh', 'kl', 'order']","['sudah', 'kl', 'order']","['kl', 'order']","['kl', 'order']",kl order
82,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Dimas,original tebal tapi nyaman,5,"['original', 'tebal', 'tapi', 'nyaman']","['original', 'tebal', 'tapi', 'nyaman']","['original', 'tebal', 'nyaman']","['original', 'tebal', 'nyaman']",original tebal nyaman
83,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Endah,ok bgt,5,"['ok', 'bgt']","['ok', 'bgt']","['ok', 'bgt']","['ok', 'bgt']",ok bgt
84,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Adhi,tipis sih cuma jadi ragu dibandingkan dengan type lain sejenis yang ply karena kelihatannya ini tidak ply,3,"['tipis', 'sih', 'cuma', 'jadi', 'ragu', 'dibandingkan', 'dengan', 'type', 'lain', 'sejenis', 'yang', 'ply', 'karena', 'kelihatannya', 'ini', 'tidak', 'ply']","['tipis', 'sih', 'cuma', 'jadi', 'ragu', 'dibandingkan', 'dengan', 'type', 'lain', 'sejenis', 'yang', 'ply', 'karena', 'kelihatannya', 'ini', 'tidak', 'ply']","['tipis', 'sih', 'ragu', 'dibandingkan', 'type', 'sejenis', 'ply', 'ply']","['tipis', 'sih', 'ragu', 'banding', 'type', 'jenis', 'ply', 'ply']",tipis sih ragu banding type jenis ply ply
85,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,d***a,maskernya ngak ada plastik sebelum masuk dus,4,"['maskernya', 'ngak', 'ada', 'plastik', 'sebelum', 'masuk', 'dus']","['maskernya', 'ngak', 'ada', 'plastik', 'sebelum', 'masuk', 'dus']","['maskernya', 'ngak', 'plastik', 'masuk', 'dus']","['masker', 'ngak', 'plastik', 'masuk', 'dus']",masker ngak plastik masuk dus
86,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,D***g,paket komplit ni seller fast responramahbarang mantaprekomendasi terbaik deh belanja disini mantaf,5,"['paket', 'komplit', 'ni', 'seller', 'fast', 'responramahbarang', 'mantaprekomendasi', 'terbaik', 'deh', 'belanja', 'disini', 'mantaf']","['paket', 'komplit', 'ni', 'seller', 'fast', 'responramahbarang', 'mantaprekomendasi', 'terbaik', 'deh', 'belanja', 'disini', 'mantaf']","['paket', 'komplit', 'ni', 'seller', 'fast', 'responramahbarang', 'mantaprekomendasi', 'terbaik', 'deh', 'belanja', 'mantaf']","['paket', 'komplit', 'ni', 'seller', 'fast', 'responramahbarang', 'mantaprekomendasi', 'baik', 'deh', 'belanja', 'mantaf']",paket komplit ni seller fast responramahbarang mantaprekomendasi baik deh belanja mantaf
87,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Anggi,oke banget enak di pakai sampai dgn cepat,5,"['oke', 'banget', 'enak', 'di', 'pakai', 'sampai', 'dgn', 'cepat']","['oke', 'banget', 'enak', 'di', 'pakai', 'sampai', 'dgn', 'cepat']","['oke', 'banget', 'enak', 'pakai', 'dgn', 'cepat']","['oke', 'banget', 'enak', 'pakai', 'dgn', 'cepat']",oke banget enak pakai dgn cepat
88,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,A***s,overall produknya ok nyaman dipakai seharihari cm sayangnya pas sampai di saya packagingnya kardusnya agak penyok di bbrp sisi tapi masih tersegel rapih,5,"['overall', 'produknya', 'ok', 'nyaman', 'dipakai', 'seharihari', 'cm', 'sayangnya', 'pas', 'sampai', 'di', 'saya', 'packagingnya', 'kardusnya', 'agak', 'penyok', 'di', 'bbrp', 'sisi', 'tapi', 'masih', 'tersegel', 'rapih']","['overall', 'produknya', 'ok', 'nyaman', 'dipakai', 'seharihari', 'cm', 'sayangnya', 'saat', 'sampai', 'di', 'saya', 'packagingnya', 'kardusnya', 'sedikit', 'penyok', 'di', 'bbrp', 'sisi', 'tapi', 'masih', 'tersegel', 'rapih']","['overall', 'produknya', 'ok', 'nyaman', 'dipakai', 'seharihari', 'cm', 'sayangnya', 'packagingnya', 'kardusnya', 'penyok', 'bbrp', 'sisi', 'tersegel', 'rapih']","['overall', 'produk', 'ok', 'nyaman', 'pakai', 'seharihari', 'cm', 'sayang', 'packagingnya', 'kardus', 'penyok', 'bbrp', 'sisi', 'segel', 'rapih']",overall produk ok nyaman pakai seharihari cm sayang packagingnya kardus penyok bbrp sisi segel rapih
89,ONEMED - Masker Karet 3 Ply / Masker Non-Medis / Masker Earloop 3 ply - Putih,Wiwit,maskernya sesuai untuk digunakan sehari enak dipakai dan mudah untuk bernapas cuman yg warna putih jdi kliatan bnget nerawangnya jdi kaya tipis gtu,5,"['maskernya', 'sesuai', 'untuk', 'digunakan', 'sehari', 'enak', 'dipakai', 'dan', 'mudah', 'untuk', 'bernapas', 'cuman', 'yg', 'warna', 'putih', 'jdi', 'kliatan', 'bnget', 'nerawangnya', 'jdi', 'kaya', 'tipis', 'gtu']","['maskernya', 'sesuai', 'untuk', 'digunakan', 'sehari', 'enak', 'dipakai', 'dan', 'mudah', 'untuk', 'bernapas', 'cuman', 'yang', 'warna', 'putih', 'jdi', 'kliatan', 'bnget', 'nerawangnya', 'jdi', 'kaya', 'tipis', 'gtu']","['maskernya', 'sesuai', 'sehari', 'enak', 'dipakai', 'mudah', 'bernapas', 'cuman', 'warna', 'putih', 'jdi', 'kliatan', 'bnget', 'nerawangnya', 'jdi', 'kaya', 'tipis', 'gtu']","['masker', 'sesuai', 'hari', 'enak', 'pakai', 'mudah', 'napas', 'cuman', 'warna', 'putih', 'jdi', 'kliatan', 'bnget', 'nerawangnya', 'jdi', 'kaya', 'tipis', 'gtu']",masker sesuai hari enak pakai mudah napas cuman warna putih jdi kliatan bnget nerawangnya jdi kaya tipis gtu
90,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Iwan,barang sudah sampai dgn kondisi bagus dan pengiriman tepat waktu,5,"['barang', 'sudah', 'sampai', 'dgn', 'kondisi', 'bagus', 'dan', 'pengiriman', 'tepat', 'waktu']","['barang', 'sudah', 'sampai', 'dgn', 'kondisi', 'bagus', 'dan', 'pengiriman', 'tepat', 'waktu']","['barang', 'dgn', 'kondisi', 'bagus', 'pengiriman']","['barang', 'dgn', 'kondisi', 'bagus', 'kirim']",barang dgn kondisi bagus kirim
91,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,J***o,barangnya bagus sesuai deskripsi,5,"['barangnya', 'bagus', 'sesuai', 'deskripsi']","['barangnya', 'bagus', 'sesuai', 'deskripsi']","['barangnya', 'bagus', 'sesuai', 'deskripsi']","['barang', 'bagus', 'sesuai', 'deskripsi']",barang bagus sesuai deskripsi
92,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Rully,barang ok sesuai deskripsi pengiriman cepat,5,"['barang', 'ok', 'sesuai', 'deskripsi', 'pengiriman', 'cepat']","['barang', 'ok', 'sesuai', 'deskripsi', 'pengiriman', 'cepat']","['barang', 'ok', 'sesuai', 'deskripsi', 'pengiriman', 'cepat']","['barang', 'ok', 'sesuai', 'deskripsi', 'kirim', 'cepat']",barang ok sesuai deskripsi kirim cepat
93,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,aan,puas bgtthank seller,5,"['puas', 'bgtthank', 'seller']","['puas', 'bgtthank', 'seller']","['puas', 'bgtthank', 'seller']","['puas', 'bgtthank', 'seller']",puas bgtthank seller
94,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,M***d,mantap,5,['mantap'],['mantap'],['mantap'],['mantap'],mantap
95,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Trian,mantap ni beli yg ke harga trun thanks,5,"['mantap', 'ni', 'beli', 'yg', 'ke', 'harga', 'trun', 'thanks']","['mantap', 'ni', 'beli', 'yang', 'ke', 'harga', 'trun', 'thanks']","['mantap', 'ni', 'beli', 'harga', 'trun', 'thanks']","['mantap', 'ni', 'beli', 'harga', 'trun', 'thanks']",mantap ni beli harga trun thanks
96,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,L***i,lumayan bagus harga murah,5,"['lumayan', 'bagus', 'harga', 'murah']","['lumayan', 'bagus', 'harga', 'murah']","['lumayan', 'bagus', 'harga', 'murah']","['lumayan', 'bagus', 'harga', 'murah']",lumayan bagus harga murah
97,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Ryan,pengiriman cepat dan barang sesuai,5,"['pengiriman', 'cepat', 'dan', 'barang', 'sesuai']","['pengiriman', 'cepat', 'dan', 'barang', 'sesuai']","['pengiriman', 'cepat', 'barang', 'sesuai']","['kirim', 'cepat', 'barang', 'sesuai']",kirim cepat barang sesuai
98,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Hendry,nan,5,['nan'],['nan'],['nan'],['nan'],nan
99,KUKE Disposable Mask KN95 Facemask Kesehatan Masker Wajah 5 Layer BNPB - KN95 1pcs,Eleonora,pengiriman cepat admin ramah,5,"['pengiriman', 'cepat', 'admin', 'ramah']","['pengiriman', 'cepat', 'admin', 'ramah']","['pengiriman', 'cepat', 'admin', 'ramah']","['kirim', 'cepat', 'admin', 'ramah']",kirim cepat admin ramah
100,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,i***d,barang sesuai deskripsi dan pengirimannya cepet banget,5,"['barang', 'sesuai', 'deskripsi', 'dan', 'pengirimannya', 'cepet', 'banget']","['barang', 'sesuai', 'deskripsi', 'dan', 'pengirimannya', 'cepet', 'banget']","['barang', 'sesuai', 'deskripsi', 'pengirimannya', 'cepet', 'banget']","['barang', 'sesuai', 'deskripsi', 'kirim', 'cepet', 'banget']",barang sesuai deskripsi kirim cepet banget
101,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,J***n,bagus,5,['bagus'],['bagus'],['bagus'],['bagus'],bagus
102,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,I***I,pengiriman cepat respon penjual oke,5,"['pengiriman', 'cepat', 'respon', 'penjual', 'oke']","['pengiriman', 'cepat', 'respon', 'penjual', 'oke']","['pengiriman', 'cepat', 'respon', 'penjual', 'oke']","['kirim', 'cepat', 'respon', 'jual', 'oke']",kirim cepat respon jual oke
103,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Risca,maskernya agak tipis ya bund,3,"['maskernya', 'agak', 'tipis', 'ya', 'bund']","['maskernya', 'sedikit', 'tipis', 'ya', 'bund']","['maskernya', 'tipis', 'ya', 'bund']","['masker', 'tipis', 'ya', 'bund']",masker tipis ya bund
104,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,ruth,bagusssss dan murah,5,"['bagusssss', 'dan', 'murah']","['bagus', 'dan', 'murah']","['bagus', 'murah']","['bagus', 'murah']",bagus murah
105,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Nanda,sesuai dan cepat sampai,5,"['sesuai', 'dan', 'cepat', 'sampai']","['sesuai', 'dan', 'cepat', 'sampai']","['sesuai', 'cepat']","['sesuai', 'cepat']",sesuai cepat
106,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,ijah,sdh sampai,5,"['sdh', 'sampai']","['sudah', 'sampai']",[],[],
107,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Oppie,terima kasih,5,"['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']","['terima', 'kasih']",terima kasih
108,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Hargianto,nan,5,['nan'],['nan'],['nan'],['nan'],nan
109,C care Duckbill 3D Stereo 3 Ply Isi 50 Pcs Masker Duckbill Import - - Hitam,Syafaun,pelayanan toko yang baik dan produk yang selalu bagus,5,"['pelayanan', 'toko', 'yang', 'baik', 'dan', 'produk', 'yang', 'selalu', 'bagus']","['pelayanan', 'toko', 'yang', 'baik', 'dan', 'produk', 'yang', 'selalu', 'bagus']","['pelayanan', 'toko', 'produk', 'bagus']","['layan', 'toko', 'produk', 'bagus']",layan toko produk bagus
110,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,yuyun,baguuussss sesuaii rapii dikemasnya,5,"['baguuussss', 'sesuaii', 'rapii', 'dikemasnya']","['bagus', 'sesuaii', 'rapii', 'dikemasnya']","['bagus', 'sesuaii', 'rapii', 'dikemasnya']","['bagus', 'sesuai', 'rapi', 'kemas']",bagus sesuai rapi kemas
111,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,L***a,ukuran karetnya agak kebesaran untuk muka saya jadi kadang maskernya merosot,5,"['ukuran', 'karetnya', 'agak', 'kebesaran', 'untuk', 'muka', 'saya', 'jadi', 'kadang', 'maskernya', 'merosot']","['ukuran', 'karetnya', 'sedikit', 'kebesaran', 'untuk', 'muka', 'saya', 'jadi', 'kadang', 'maskernya', 'merosot']","['ukuran', 'karetnya', 'kebesaran', 'muka', 'kadang', 'maskernya', 'merosot']","['ukur', 'karet', 'besar', 'muka', 'kadang', 'masker', 'merosot']",ukur karet besar muka kadang masker merosot
112,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,H***y,bagus hanya tidak ada boxnya,5,"['bagus', 'hanya', 'tidak', 'ada', 'boxnya']","['bagus', 'hanya', 'tidak', 'ada', 'boxnya']","['bagus', 'boxnya']","['bagus', 'boxnya']",bagus boxnya
113,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,L***y,ok banget kualitas dan prosesnya,5,"['ok', 'banget', 'kualitas', 'dan', 'prosesnya']","['ok', 'banget', 'kualitas', 'dan', 'prosesnya']","['ok', 'banget', 'kualitas', 'prosesnya']","['ok', 'banget', 'kualitas', 'proses']",ok banget kualitas proses
114,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Ridwan,ternyata for nonmedical use tapi its ok lah lebih baik dideskripsikan sesuai aslinya,4,"['ternyata', 'for', 'nonmedical', 'use', 'tapi', 'its', 'ok', 'lah', 'lebih', 'baik', 'dideskripsikan', 'sesuai', 'aslinya']","['ternyata', 'for', 'nonmedical', 'use', 'tapi', 'its', 'ok', 'lah', 'lebih', 'baik', 'dideskripsikan', 'sesuai', 'aslinya']","['for', 'nonmedical', 'use', 'its', 'ok', 'dideskripsikan', 'sesuai', 'aslinya']","['for', 'nonmedical', 'use', 'its', 'ok', 'deskripsi', 'sesuai', 'asli']",for nonmedical use its ok deskripsi sesuai asli
115,Masker KN95 Alkindo Masker Medis 5ply 1 Box 10 pcs - Masker Kesehatan - Putih,Duarte,kualitas masker jelek banyak masker yg bolong tidak terjahit dengan benar lalu isinya cuma ply kalo jualan yg bener bos,1,"['kualitas', 'masker', 'jelek', 'banyak', 'masker', 'yg', 'bolong', 'tidak', 'terjahit', 'dengan', 'benar', 'lalu', 'isinya', 'cuma', 'ply', 'kalo', 'jualan', 'yg', 'bener', 'bos']","['kualitas', 'masker', 'jelek', 'banyak', 'masker', 'yang', 'bolong', 'tidak', 'terjahit', 'dengan', 'benar', 'lalu', 'isinya', 'cuma', 'ply', 'kalo', 'jualan', 'yang', 'bener', 'bos']","['kualitas', 'masker', 'jelek', 'masker', 'bolong', 'terjahit', 'isinya', 'ply', 'kalo', 'jualan', 'bener', 'bos']","['kualitas', 'masker', 'jelek', 'masker', 'bolong', 'jahit', 'isi', 'ply', 'kalo', 'jual', 'bener', 'bos']",kualitas masker jelek masker bolong jahit isi ply kalo jual bener bos
